_id,,Land Use,Property City,Sale Date,Sale Price,Acreage,Land Value,Building Value,Total Value,Finished Area,Year Built,Bedrooms,Full Bath,Half Bath
65d7ef0d234a2544308204c7,45864,SINGLE FAMILY,ANTIOCH,3/29/16,154000,0.21,15500.0,89800.0,105300.0,1550.0,1977.0,3.0,1.0,1.0
65d7ef0d234a2544308204c8,45865,SINGLE FAMILY,ANTIOCH,3/18/16,150000,0.25,25000.0,120200.0,145200.0,1687.0,1997.0,3.0,2.0,0.0
65d7ef0d234a2544308204cc,45869,SINGLE FAMILY,ANTIOCH,3/15/16,249500,0.41,33000.0,202600.0,235600.0,2544.25,1986.0,4.0,2.0,1.0
65d7ef0d234a2544308204cd,45870,SINGLE FAMILY,NASHVILLE,3/31/16,168950,0.23,23000.0,106600.0,146600.0,2238.0,1966.0,3.0,2.0,0.0
65d7ef0d234a2544308204ce,45871,DUPLEX,NASHVILLE,3/16/16,125500,0.49,22000.0,72700.0,94700.0,2114.0,1980.0,4.0,4.0,0.0
65d7ef0d234a2544308204cf,45872,SINGLE FAMILY,ANTIOCH,3/4/16,162000,0.32,26000.0,98400.0,124400.0,1473.0,1986.0,3.0,2.0,0.0
65d7ef0d234a2544308204d0,45873,SINGLE FAMILY,ANTIOCH,3/3/16,181000,0.3,22500.0,140400.0,162900.0,2478.0,1987.0,3.0,4.0,0.0
65d7ef0d234a2544308204d1,45874,SINGLE FAMILY,ANTIOCH,3/31/16,202000,0.34,29500.0,131200.0,160700.0,2440.0,1984.0,4.0,3.0,0.0
65d7ef0d234a2544308204d2,45875,SINGLE FAMILY,ANTIOCH,3/31/16,174900,0.35,27500.0,103800.0,131300.0,2004.69,1987.0,3.0,2.0,0.0
65d7ef0d234a2544308204d3,45876,SINGLE FAMILY,ANTIOCH,3/4/16,101000,0.28,22000.0,87800.0,109800.0,1617.0,1975.0,3.0,2.0,0.0
65d7ef0d234a2544308204d4,45877,SINGLE FAMILY,ANTIOCH,3/21/16,131900,0.24,27500.0,70100.0,97600.0,1257.0,1979.0,3.0,2.0,0.0
65d7ef0d234a2544308204d5,45878,SINGLE FAMILY,ANTIOCH,3/25/16,175900,0.25,27500.0,82900.0,110400.0,1500.0,1979.0,3.0,1.0,1.0
65d7ef0d234a2544308204d6,45879,ZERO LOT LINE,ANTIOCH,3/25/16,82000,0.1,13000.0,59800.0,73700.0,1134.0,1984.0,2.0,2.0,0.0
65d7ef0d234a2544308204d7,45880,SINGLE FAMILY,ANTIOCH,3/28/16,127500,0.42,27500.0,98500.0,126000.0,1880.0,1984.0,4.0,2.0,0.0
65d7ef0d234a2544308204d8,45881,SINGLE FAMILY,ANTIOCH,3/17/16,136500,0.27,27500.0,122900.0,150400.0,2487.0,1986.0,3.0,2.0,0.0
65d7ef0d234a2544308204d9,45882,SINGLE FAMILY,ANTIOCH,3/21/16,125000,0.26,20400.0,91500.0,111900.0,1442.0,1984.0,3.0,2.0,0.0
65d7ef0d234a2544308204da,45883,SINGLE FAMILY,ANTIOCH,3/30/16,130000,0.28,20400.0,80800.0,101200.0,1156.0,1984.0,3.0,2.0,0.0
65d7ef0d234a2544308204dd,45886,SINGLE FAMILY,ANTIOCH,3/22/16,126000,0.23,27500.0,82100.0,109600.0,1536.0,1983.0,3.0,1.0,0.0
